WIOG,-0.3486111111,111.747777778,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIOK,-1.8158333333,109.962777778,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIOO,-0.1488888889,109.402777778,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIOP,-0.8355555556,112.935833333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIOS,-0.0636111111,111.472777778,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIPP,-2.8977777778,104.700833333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIRR,-6.2908333333,106.565833333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WITC,4.045,96.2494444444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WITN,5.8766666667,95.34,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WITT,5.52,95.4208333333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIOI,0.910171,108.982678,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
